Category,Service/Class Name,File Path,Status,Priority,Test Methods Needed,Dependencies,Notes
AI/ML Services,PredictiveRoutingEngine,src/main/java/io/aurigraph/v11/ai/PredictiveRoutingEngine.java,UNTESTED,HIGH,8,"PredictiveTransactionOrdering, NetworkHealthService","Transaction routing optimization"
AI/ML Services,PredictiveTransactionOrdering,src/main/java/io/aurigraph/v11/ai/PredictiveTransactionOrdering.java,UNTESTED,HIGH,10,"ConsensusOptimizer, MLLoadBalancer","Transaction ordering optimization"
Database,LevelDBRepository,src/main/java/io/aurigraph/v11/repository/LevelDBRepository.java,UNTESTED,CRITICAL,10,"LevelDBService, LevelDBValidator","Core database access layer"
Database,LevelDBService,src/main/java/io/aurigraph/v11/storage/LevelDBService.java,UNTESTED,CRITICAL,10,"LevelDBEncryptionService, LevelDBBackupService","LevelDB instance management"
Database,LevelDBStorageService,src/main/java/io/aurigraph/v11/storage/LevelDBStorageService.java,UNTESTED,CRITICAL,10,"LevelDBService, LevelDBKeyManagementService","Abstraction layer for LevelDB"
Database,LevelDBEncryptionService,src/main/java/io/aurigraph/v11/security/LevelDBEncryptionService.java,UNTESTED,HIGH,8,"QuantumCryptoService, KyberKeyManager","Encryption for persisted data"
Database,LevelDBBackupService,src/main/java/io/aurigraph/v11/security/LevelDBBackupService.java,UNTESTED,HIGH,7,"LevelDBService, LevelDBValidator","Backup and restore functionality"
Database,LevelDBKeyManagementService,src/main/java/io/aurigraph/v11/security/LevelDBKeyManagementService.java,UNTESTED,HIGH,8,"QuantumCryptoService, HSMCryptoService","Key lifecycle management"
Database,ChannelRepository,src/main/java/io/aurigraph/v11/channels/ChannelRepository.java,UNTESTED,HIGH,6,"LevelDBRepository, Channel model","Channel storage and retrieval"
Database,MessageRepository,src/main/java/io/aurigraph/v11/channels/MessageRepository.java,UNTESTED,HIGH,6,"LevelDBRepository, Message model","Message storage and retrieval"
Database,MemoryMappedTransactionLog,src/main/java/io/aurigraph/v11/storage/MemoryMappedTransactionLog.java,UNTESTED,HIGH,8,"LevelDBService, TransactionService","Memory-mapped transaction logging"
REST APIs,AIApiResource,src/main/java/io/aurigraph/v11/api/AIApiResource.java,UNTESTED,HIGH,5,"AIOptimizationService, AIConsensusOptimizer","AI optimization endpoints"
REST APIs,BlockchainApiResource,src/main/java/io/aurigraph/v11/api/BlockchainApiResource.java,UNTESTED,HIGH,6,"HyperRAFTConsensusService, TransactionService","Blockchain core endpoints"
REST APIs,BridgeApiResource,src/main/java/io/aurigraph/v11/api/BridgeApiResource.java,UNTESTED,HIGH,8,"CrossChainBridgeService, BridgeValidatorService","Bridge operation endpoints"
REST APIs,BridgeHistoryResource,src/main/java/io/aurigraph/v11/api/BridgeHistoryResource.java,UNTESTED,HIGH,4,"BridgeHistoryService, BridgeTransaction model","Bridge transaction history"
REST APIs,BridgeStatusResource,src/main/java/io/aurigraph/v11/api/BridgeStatusResource.java,UNTESTED,HIGH,4,"BridgeStatusService, BridgeValidator model","Bridge status monitoring"
REST APIs,ChannelResource,src/main/java/io/aurigraph/v11/api/ChannelResource.java,UNTESTED,HIGH,5,"ChannelManagementService, ChannelRepository","Channel management endpoints"
REST APIs,ConsensusApiResource,src/main/java/io/aurigraph/v11/api/ConsensusApiResource.java,UNTESTED,HIGH,6,"HyperRAFTConsensusService, LeaderElection","Consensus status endpoints"
REST APIs,CryptoApiResource,src/main/java/io/aurigraph/v11/api/CryptoApiResource.java,UNTESTED,HIGH,5,"QuantumCryptoService, DilithiumSignatureService","Cryptography operation endpoints"
REST APIs,DataFeedResource,src/main/java/io/aurigraph/v11/api/DataFeedResource.java,UNTESTED,HIGH,4,"PriceFeedService, OracleService","Data feed endpoints"
REST APIs,EnterpriseResource,src/main/java/io/aurigraph/v11/api/EnterpriseResource.java,UNTESTED,HIGH,6,"EnterpriseService, EnterpriseDashboardService","Enterprise management endpoints"
REST APIs,ExternalAPITokenizationResource,src/main/java/io/aurigraph/v11/api/ExternalAPITokenizationResource.java,UNTESTED,HIGH,4,"ExternalAPITokenizationService, TokenManagementService","External API tokenization"
REST APIs,FeedTokenResource,src/main/java/io/aurigraph/v11/api/FeedTokenResource.java,UNTESTED,HIGH,4,"DataFeedResource, TokenManagementService","Feed token management"
REST APIs,HMSResource,src/main/java/io/aurigraph/v11/api/HMSResource.java,UNTESTED,HIGH,6,"HMSIntegrationService, ComplianceService","HMS integration endpoints"
REST APIs,LiveChannelApiResource,src/main/java/io/aurigraph/v11/api/LiveChannelApiResource.java,UNTESTED,HIGH,5,"LiveChannelDataService, ChannelWebSocket","Live channel data streaming"
REST APIs,LiveDataResource,src/main/java/io/aurigraph/v11/api/LiveDataResource.java,UNTESTED,HIGH,4,"LiveValidatorService, NetworkMonitoringService","Live data endpoints"
REST APIs,LiveNetworkResource,src/main/java/io/aurigraph/v11/api/LiveNetworkResource.java,UNTESTED,HIGH,5,"LiveNetworkService, NetworkStatsService","Live network status"
REST APIs,NetworkMonitoringResource,src/main/java/io/aurigraph/v11/api/NetworkMonitoringResource.java,UNTESTED,HIGH,6,"NetworkMonitoringService, NetworkHealthService","Network monitoring endpoints"
REST APIs,NetworkResource,src/main/java/io/aurigraph/v11/api/NetworkResource.java,UNTESTED,HIGH,5,"NetworkHealthService, P2PNetworkService","Network status endpoints"
REST APIs,OracleStatusResource,src/main/java/io/aurigraph/v11/api/OracleStatusResource.java,UNTESTED,HIGH,3,"OracleService, OracleStatusService","Oracle status endpoints"
REST APIs,Phase2BlockchainResource,src/main/java/io/aurigraph/v11/api/Phase2BlockchainResource.java,UNTESTED,HIGH,6,"BlockchainApiResource, TransactionService","Phase 2 blockchain features"
REST APIs,Phase3AdvancedFeaturesResource,src/main/java/io/aurigraph/v11/api/Phase3AdvancedFeaturesResource.java,UNTESTED,MEDIUM,6,"AIApiResource, CryptoApiResource","Phase 3 advanced features"
REST APIs,Phase4EnterpriseResource,src/main/java/io/aurigraph/v11/api/Phase4EnterpriseResource.java,UNTESTED,MEDIUM,6,"EnterpriseResource, RWAApiResource","Phase 4 enterprise features"
REST APIs,PriceFeedResource,src/main/java/io/aurigraph/v11/api/PriceFeedResource.java,UNTESTED,HIGH,4,"PriceFeedService, OracleService","Price feed endpoints"
REST APIs,QuantumCryptoResource,src/main/java/io/aurigraph/v11/api/QuantumCryptoResource.java,UNTESTED,HIGH,5,"QuantumCryptoService, DilithiumSignatureService","Quantum crypto endpoints"
REST APIs,RWAApiResource,src/main/java/io/aurigraph/v11/api/RWAApiResource.java,UNTESTED,HIGH,6,"AssetValuationService, FractionalOwnershipService","RWA management endpoints"
REST APIs,SecurityApiResource,src/main/java/io/aurigraph/v11/api/SecurityApiResource.java,UNTESTED,HIGH,5,"SecurityAuditService, HSMCryptoService","Security operation endpoints"
REST APIs,ValidatorResource,src/main/java/io/aurigraph/v11/api/ValidatorResource.java,UNTESTED,HIGH,5,"LiveValidatorService, BridgeValidatorService","Validator management endpoints"
REST APIs,CompositeTokenResource,src/main/java/io/aurigraph/v11/api/CompositeTokenResource.java,UNTESTED,HIGH,6,"CompositeTokenFactory, CompositeTokenService","Composite token endpoints"
RWA Tokenization,AssetValuationService,src/main/java/io/aurigraph/v11/contracts/rwa/AssetValuationService.java,UNTESTED,CRITICAL,10,"OracleService, AnalyticsService","Asset valuation and pricing"
RWA Tokenization,DigitalTwinService,src/main/java/io/aurigraph/v11/contracts/rwa/DigitalTwinService.java,UNTESTED,CRITICAL,9,"AssetValuationService, MetricsCollectorService","Digital twin management"
RWA Tokenization,FractionalOwnershipService,src/main/java/io/aurigraph/v11/contracts/rwa/FractionalOwnershipService.java,UNTESTED,CRITICAL,10,"CompositeTokenFactory, GovernanceService","Fractional share management"
RWA Tokenization,DividendDistributionService,src/main/java/io/aurigraph/v11/contracts/rwa/DividendDistributionService.java,UNTESTED,CRITICAL,9,"FractionalOwnershipService, TransactionService","Dividend distribution"
RWA Tokenization,OracleService,src/main/java/io/aurigraph/v11/contracts/rwa/OracleService.java,UNTESTED,CRITICAL,8,"PriceFeedService, AnalyticsService","Oracle price feeds"
RWA Tokenization,RegulatoryComplianceService,src/main/java/io/aurigraph/v11/contracts/rwa/RegulatoryComplianceService.java,UNTESTED,CRITICAL,10,"KYCAMLProviderService, TaxReportingService","Regulatory compliance"
RWA Tokenization,MandatoryVerificationService,src/main/java/io/aurigraph/v11/contracts/rwa/MandatoryVerificationService.java,UNTESTED,CRITICAL,8,"VerificationService, HMSIntegrationService","Verification workflows"
RWA Tokenization,KYCAMLProviderService,src/main/java/io/aurigraph/v11/contracts/rwa/compliance/KYCAMLProviderService.java,UNTESTED,CRITICAL,9,"RegulatoryComplianceService, SecurityAuditService","KYC/AML compliance"
RWA Tokenization,SanctionsScreeningService,src/main/java/io/aurigraph/v11/contracts/rwa/compliance/SanctionsScreeningService.java,UNTESTED,HIGH,7,"KYCAMLProviderService, SecurityAuditService","Sanctions screening"
RWA Tokenization,TaxReportingService,src/main/java/io/aurigraph/v11/contracts/rwa/compliance/TaxReportingService.java,UNTESTED,HIGH,9,"RegulatoryComplianceService, AnalyticsService","Tax reporting"
RWA Tokenization,RegulatoryReportingService,src/main/java/io/aurigraph/v11/contracts/rwa/compliance/RegulatoryReportingService.java,UNTESTED,HIGH,8,"RegulatoryComplianceService, AnalyticsService","Regulatory reporting"
RWA Tokenization,RicardianContractConversionService,src/main/java/io/aurigraph/v11/contracts/RicardianContractConversionService.java,UNTESTED,HIGH,7,"ContractCompiler, ContractVerifier","Ricardian contract conversion"
RWA Tokenization,WorkflowConsensusService,src/main/java/io/aurigraph/v11/contracts/WorkflowConsensusService.java,UNTESTED,HIGH,8,"HyperRAFTConsensusService, ActiveContractService","Workflow consensus"
RWA Tokenization,LedgerAuditService,src/main/java/io/aurigraph/v11/contracts/LedgerAuditService.java,UNTESTED,MEDIUM,6,"LevelDBRepository, SecurityAuditService","Ledger auditing"
CrossChain Bridge,CrossChainBridgeService,src/main/java/io/aurigraph/v11/bridge/CrossChainBridgeService.java,UNTESTED,CRITICAL,12,"ChainAdapter, BridgeValidatorService","Main bridge orchestration"
CrossChain Bridge,CrossChainMessageService,src/main/java/io/aurigraph/v11/bridge/CrossChainMessageService.java,UNTESTED,HIGH,10,"CrossChainBridgeService, RelayerService","Cross-chain messaging"
CrossChain Bridge,BridgeValidatorService,src/main/java/io/aurigraph/v11/bridge/BridgeValidatorService.java,UNTESTED,HIGH,9,"BridgeValidator, HyperRAFTConsensusService","Bridge validator consensus"
CrossChain Bridge,TokenBridgeService,src/main/java/io/aurigraph/v11/bridge/TokenBridgeService.java,UNTESTED,HIGH,8,"BridgeTokenRegistry, BridgeTransaction","Token bridging"
CrossChain Bridge,LiquidityPoolManager,src/main/java/io/aurigraph/v11/bridge/LiquidityPoolManager.java,UNTESTED,HIGH,10,"BridgeTransaction, TransactionService","Bridge liquidity management"
CrossChain Bridge,BridgeMonitoringService,src/main/java/io/aurigraph/v11/bridge/monitoring/BridgeMonitoringService.java,UNTESTED,HIGH,7,"CrossChainBridgeService, NetworkMonitoringService","Bridge monitoring"
CrossChain Bridge,RelayerService,src/main/java/io/aurigraph/v11/bridge/RelayerService.java,UNTESTED,HIGH,8,"CrossChainBridgeService, CrossChainMessageService","Relayer network"
CrossChain Bridge,BridgeSecurityManager,src/main/java/io/aurigraph/v11/bridge/security/BridgeSecurityManager.java,UNTESTED,HIGH,7,"SecurityAuditService, QuantumCryptoService","Bridge security"
CrossChain Bridge,AtomicSwapManager,src/main/java/io/aurigraph/v11/bridge/AtomicSwapManager.java,UNTESTED,HIGH,9,"BridgeTransaction, TransactionService","Atomic swap execution"
DeFi,DeFiIntegrationService,src/main/java/io/aurigraph/v11/contracts/defi/DeFiIntegrationService.java,UNTESTED,HIGH,10,"LendingProtocolService, YieldFarmingService","DeFi integration"
DeFi,LendingProtocolService,src/main/java/io/aurigraph/v11/contracts/defi/LendingProtocolService.java,UNTESTED,HIGH,10,"LendingPosition, DeFiRequests","Lending protocol"
DeFi,LiquidityPoolManager,src/main/java/io/aurigraph/v11/contracts/defi/LiquidityPoolManager.java,UNTESTED,HIGH,9,"LiquidityPool, DeFiProtocol","Liquidity pool management"
DeFi,YieldFarmingService,src/main/java/io/aurigraph/v11/contracts/defi/YieldFarmingService.java,UNTESTED,HIGH,10,"YieldFarm, TransactionService","Yield farming"
DeFi,RiskAnalyticsEngine,src/main/java/io/aurigraph/v11/contracts/defi/risk/RiskAnalyticsEngine.java,UNTESTED,HIGH,9,"LoanPosition, AnalyticsService","Risk analysis"
DeFi,ImpermanentLossCalculator,src/main/java/io/aurigraph/v11/contracts/defi/risk/ImpermanentLossCalculator.java,UNTESTED,MEDIUM,6,"LiquidityPosition, PriceFeedService","IL calculation"
DeFi,DEXIntegrationService,src/main/java/io/aurigraph/v11/defi/services/DEXIntegrationService.java,UNTESTED,HIGH,8,"SwapRequest, PriceFeedService","DEX integration"
WebSocket/RealTime,ChannelWebSocket,src/main/java/io/aurigraph/v11/websocket/ChannelWebSocket.java,UNTESTED,HIGH,8,"ChannelManagementService, LiveChannelDataService","WebSocket real-time comms"
WebSocket/RealTime,LiveNetworkService,src/main/java/io/aurigraph/v11/live/LiveNetworkService.java,UNTESTED,HIGH,7,"NetworkMonitoringService, NetworkStatsService","Live network data"
WebSocket/RealTime,LiveValidatorsService,src/main/java/io/aurigraph/v11/live/LiveValidatorsService.java,UNTESTED,HIGH,6,"LiveValidatorService, HyperRAFTConsensusService","Live validator status"
WebSocket/RealTime,LiveChannelDataService,src/main/java/io/aurigraph/v11/channels/LiveChannelDataService.java,UNTESTED,HIGH,7,"ChannelRepository, ChannelWebSocket","Live channel data"
WebSocket/RealTime,ChannelManagementService,src/main/java/io/aurigraph/v11/channels/ChannelManagementService.java,UNTESTED,HIGH,8,"ChannelRepository, ChannelMemberRepository","Channel management"
WebSocket/RealTime,LiveValidatorService,src/main/java/io/aurigraph/v11/validators/LiveValidatorService.java,UNTESTED,HIGH,6,"HyperRAFTConsensusService, NetworkMonitoringService","Live validator data"
Consensus,ConsensusEngine,src/main/java/io/aurigraph/v11/consensus/ConsensusEngine.java,UNTESTED,MEDIUM,15,"HyperRAFTConsensusService, LogReplication","Consensus engine core"
Consensus,LiveConsensusService,src/main/java/io/aurigraph/v11/consensus/LiveConsensusService.java,UNTESTED,MEDIUM,10,"HyperRAFTConsensusService, ConsensusMetrics","Live consensus monitoring"
Consensus,Sprint5ConsensusOptimizer,src/main/java/io/aurigraph/v11/consensus/Sprint5ConsensusOptimizer.java,UNTESTED,MEDIUM,10,"HyperRAFTConsensusService, AIOptimizationService","Consensus optimization"
Cryptography,HSMCryptoService,src/main/java/io/aurigraph/v11/crypto/HSMCryptoService.java,UNTESTED,MEDIUM,10,"HSMIntegration, QuantumCryptoService","HSM integration"
Cryptography,KyberKeyManager,src/main/java/io/aurigraph/v11/crypto/KyberKeyManager.java,UNTESTED,MEDIUM,10,"QuantumCryptoService, KYCAMLProviderService","Kyber key management"
Cryptography,PostQuantumCryptoService,src/main/java/io/aurigraph/v11/crypto/PostQuantumCryptoService.java,UNTESTED,MEDIUM,9,"QuantumCryptoService, DilithiumSignatureService","Post-quantum crypto"
Cryptography,SphincsPlusService,src/main/java/io/aurigraph/v11/crypto/SphincsPlusService.java,UNTESTED,MEDIUM,8,"QuantumCryptoService, DilithiumSignatureService","SPHINCS+ signatures"
Smart Contracts,ActiveContractService,src/main/java/io/aurigraph/v11/contracts/ActiveContractService.java,UNTESTED,HIGH,10,"ActiveContractRepository, ContractExecutor","Active contract lifecycle"
Smart Contracts,ContractVerifier,src/main/java/io/aurigraph/v11/contracts/ContractVerifier.java,UNTESTED,HIGH,8,"ContractCompiler, SecurityAuditService","Contract verification"
Smart Contracts,ContractCompiler,src/main/java/io/aurigraph/v11/contracts/ContractCompiler.java,UNTESTED,HIGH,9,"ContractLanguage, ContractRepository","Contract compilation"
Smart Contracts,ContractExecutor,src/main/java/io/aurigraph/v11/contracts/ContractExecutor.java,UNTESTED,HIGH,9,"ContractVerifier, TransactionService","Contract execution"
Smart Contracts,GovernanceStatsService,src/main/java/io/aurigraph/v11/blockchain/governance/GovernanceStatsService.java,UNTESTED,MEDIUM,7,"GovernanceService, AnalyticsService","Governance statistics"
Smart Contracts,EnterpriseDashboardService,src/main/java/io/aurigraph/v11/contracts/enterprise/EnterpriseDashboardService.java,UNTESTED,MEDIUM,8,"EnterpriseService, AnalyticsService","Enterprise dashboard"
Monitoring,AnalyticsService,src/main/java/io/aurigraph/v11/analytics/AnalyticsService.java,UNTESTED,MEDIUM,8,"MetricsCollectorService, AnalyticsCache","Analytics processing"
Monitoring,MetricsCollectorService,src/main/java/io/aurigraph/v11/monitoring/MetricsCollectorService.java,UNTESTED,MEDIUM,7,"TransactionService, NetworkMonitoringService","Metrics collection"
Monitoring,AutomatedReportingService,src/main/java/io/aurigraph/v11/monitoring/AutomatedReportingService.java,UNTESTED,MEDIUM,6,"AnalyticsService, ExportRequest","Automated reporting"
Network,NetworkHealthService,src/main/java/io/aurigraph/v11/network/NetworkHealthService.java,UNTESTED,MEDIUM,8,"P2PNetworkService, NetworkMonitoringService","Network health"
Network,P2PNetworkService,src/main/java/io/aurigraph/v11/network/P2PNetworkService.java,UNTESTED,MEDIUM,9,"NetworkHealthService, ChannelManagementService","P2P network"
Network,AdvancedPerformanceService,src/main/java/io/aurigraph/v11/performance/AdvancedPerformanceService.java,UNTESTED,MEDIUM,8,"CacheManager, VirtualThreadPoolManager","Performance management"
Network,CacheManager,src/main/java/io/aurigraph/v11/performance/CacheManager.java,UNTESTED,MEDIUM,7,"LevelDBService, MetricsCollectorService","Cache management"
Network,VirtualThreadPoolManager,src/main/java/io/aurigraph/v11/performance/VirtualThreadPoolManager.java,UNTESTED,MEDIUM,8,"ExecutorService, MetricsCollectorService","Virtual thread pool"
Other Services,TransactionService,src/main/java/io/aurigraph/v11/TransactionService.java,PARTIAL,HIGH,8,"ParallelTransactionExecutor, HyperRAFTConsensusService","Core transaction processing (has basic tests but needs more)"
Other Services,UserService,src/main/java/io/aurigraph/v11/user/UserService.java,UNTESTED,MEDIUM,5,"UserRepository, RoleService","User management"
Other Services,RoleService,src/main/java/io/aurigraph/v11/user/RoleService.java,UNTESTED,MEDIUM,4,"RoleRepository","Role management"
Other Services,TokenManagementService,src/main/java/io/aurigraph/v11/tokens/TokenManagementService.java,UNTESTED,MEDIUM,6,"TokenRepository, TransactionService","Token management"
Other Services,ExternalAPITokenizationService,src/main/java/io/aurigraph/v11/tokenization/ExternalAPITokenizationService.java,UNTESTED,MEDIUM,7,"ExternalAPITokenizationResource, TokenManagementService","External API tokenization"
Other Services,MultiSigWalletService,src/main/java/io/aurigraph/v11/wallet/MultiSigWalletService.java,UNTESTED,MEDIUM,7,"QuantumCryptoService, TransactionService","Multi-sig wallet"
Other Services,VerificationCertificateService,src/main/java/io/aurigraph/v11/verification/VerificationCertificateService.java,UNTESTED,MEDIUM,6,"VerificationService, SecurityAuditService","Verification certificates"
Other Services,MobileAppService,src/main/java/io/aurigraph/v11/mobile/MobileAppService.java,UNTESTED,MEDIUM,5,"UserService, NotificationService","Mobile app support"
Other Services,LoggingService,src/main/java/io/aurigraph/v11/logging/LoggingService.java,UNTESTED,LOW,4,"Logger, AnalyticsService","Logging infrastructure"
Other Services,SystemStatusService,src/main/java/io/aurigraph/v11/system/SystemStatusService.java,UNTESTED,MEDIUM,6,"NetworkMonitoringService, MetricsCollectorService","System status"
